Thread/Process ID: 5 Leader ID: 1
Thread/Process ID: 11 Leader ID: 1
Thread/Process ID: 13 Leader ID: 1
Thread/Process ID: 7 Leader ID: 1
Thread/Process ID: 6 Leader ID: 1
Thread/Process ID: 25 Leader ID: 1
Thread/Process ID: 30 Leader ID: 1
Thread/Process ID: 34 Leader ID: 1
Thread/Process ID: 29 Leader ID: 1
Thread/Process ID: 1 Leader ID: 1
Thread/Process ID: 5 Leader ID: 1
Thread/Process ID: 11 Leader ID: 1
Thread/Process ID: 13 Leader ID: 1
Thread/Process ID: 7 Leader ID: 1
Thread/Process ID: 6 Leader ID: 1
Thread/Process ID: 25 Leader ID: 1
Thread/Process ID: 30 Leader ID: 1
Thread/Process ID: 34 Leader ID: 1
Thread/Process ID: 29 Leader ID: 1
Thread/Process ID: 1 Leader ID: 1
